10 hral|torn.
136 'phang mdung|SANST a sling-hook or spear-head to which a string is tied and, being held fast, the spear-head is flung at a fish or bird.
136 pha rag|1. breeding-buck. 2. v. {phar ba} (Jä.). 3. n. of a section in the Daipung monastery (Loo. {za}, 16). 4. n. of a place in Khams.
136 pho mo byang thang mtsho|a large lake in Tibet on the Bhutan frontier lying between long 90° and 90° 30´E. at an elevation of 16,050 ft.
136 phrin|= {'phrin} news, tidings, intelligence: {phrin phar bskyal ba dang phyir bskyal ba} communicating news, sending it out and abroad.
136 'phyur ba|1. to ascend, to mount, to rise up, of smoke; to overflow, inundate, of rivers, lakes, etc. 2. Sch. to heap up, to accumulate.
136 ra rgyab pa|(more properly {ro rgyab pa}) the common term applied to the scavengers and corpse-disposers in Lhasa and also in Shiga-tse.
136 ri bo rin chen spungs pa|n. of a hill sacred to the Bon in Kongpo situated to the east of the monastery of {bu chu lha khang} (Grub. 2).
136 rta go|rta'i khrab cha tshang coat of mail for a horse; {de dmag dpon rnams kyi rta chas yin} the horse equipment for generals (Rtsii.).
136 rtib pa|pf. {brtibs}, fut. {brtib}, imp. {rtib} or {rtibs} to break or pull down (cf. {rdib pa}); in Sikk. to beat or thrash thoroughly.
136 rting pa|1. the end, extremity, lowest part, e.g., of a stick; gen. the heel of the foot {rkang pa'i rtsa ba} (Moon.). 2. {phyi} latter.
136 sa mda' chu sgro ma|a sharp pointed arrow having a feather at its end which is shot to pierce the earth and also through water (Rtsii.).
136 sa 'og|SANST, SANST the nether world; nadir, underground.\n\nSyn. {rkang 'og}; {stobs ldan gnas}; {bcu 'og}; {klu yi 'jig rten} (Moon.).
136 sems gso|or {sems pa gso ba} consolation, to console; {sems gso thugs ngal ma mdzad} (Rdsa. 19) be consoled, do not be troubled in mind.
136 ser sna|SANST avarice; {ser sna byed pa} to be avaricious.\n\nSyn. {'chums pa}; {'jungs pa}; {zhib mo}; {cha phra}; {sran ches} (Moon.).
136 shing e la ba lu ka|‡ SANST [the fragrant bark of Feronia elephantum]S.\n\nSyn. {lug skyes}; {gser gyi bye ma can}; {dri rdzas} (Moon.).
136 sku gzugs bde|= {nad med pa} health; also healthy.\n\nSyn. {khams bde}; {nyer 'tshe med}; {'byung bzhi snyoms}; {bro mi mtshal} (Moon.).
136 skyed can|I: yielding interest or profit (Cs.).\n\nII: v. {tsan dan sbrul gyi snying po} the sandal-wood called 'snake's heart' (Moon.).
136 skye rags|v. {ske rags} for girdle. The term in Mil. book, skye-rags-kyi ras hdi, seems an inversion of the intended order of the words.
136 sma|= {dma'}; {sma 'bebs pa} to humiliate, cast down, humble; {sma 'bebs tshig} SANST a humiliating word or phrase expressing an insult.
136 sma khams|= {smar khams} n. of a district where a Jong-pon from Lhasa with the designation Ma-kham thal-chi holds office (Loo. {'a}, 5).
136 smra ba'i lha|= {'jam dpal} that is SANST the god of speech (Moon.); {smra ba'i lha mo} SANST Sarasvati the goddess of learning (Moon.).
136 so brad byed|gnawing flesh from the bones: {g.yon pa mi sha lag pa so brad byed} (A. 14) the left one was biting flesh from a human arm.
136 su ta ri|‡ n. of a place in Himavata where lived a notorious hunter who was at last devoured by his own rapacious hounds (Tan-soag. 64).
136 thab bsu|receiving a great man by waiting on the way he comes with cooking appliances, etc., to serve him with warm tea and cooked food.
136 ye shes|SANST the perfect absolute divine wisdom; also occasionally {ye mkhyen}. This is inherent to all great saints and divine beings.
136 zegs ma|SANST, SANST particles of water, spray; the term is also applied to {zil pa} on grass blades. {bdud tsi'i zegs} drops of nectar.
136 zhel|= {spus tha mas} worst quality (Rtsii.); bad, mean, inferior; {rab 'bring zhes sogs} (Ya-sel. 4) superior, middling, inferior, etc.
137 bdag rkyen|recognition of one's services by one's superior, with promotion, etc.; appreciation of merit by an official superior (Rtsii.).
137 bkras lhun|(Tei-lhun) SANST a contraction of {bkra shis lhun po} (Tashi-lhun-po); also a heap or mountain of glory or auspicious objects.
137 bkyal ba|1. to talk nonsense (Jä.). 2. {ngag 'chal ba} to rave in speech; to talk nonsense: {bkyal ba'i ngag} SANST, SANST, v. {kyal ka}.
137 bsdam mo|a knot, a tied bandage.\n\n(EEE The original gives the transliteration of the headword as "hsdam-mo" which is clearly in error.)
137 bsil khang|= {yang thog} SANST, SANST a dome, a turret on the roof of a house; also: a cool room, a summer house, summer residence (Jä.).
137 bsnyungs|= {nyung ba bsnyun} slightly laid up (Oag. 30); SANST; {nyung ngur byas pa} made less, belittled, {yo byad bsnyungs} (Situ. 75).
137 btang bzung|SANST a species of flower; also n. of a mythical mountain. {btang bzung chen po} SANST a larger species of Muchilinda flower.
137 bteg bteg byed pa|to haul upwards: {yar mgo zeng zeng byas}, {dar dkar gyi lcibs thogs te rgyal po'i dbu bteg bteg byas te} (Hbrom. 125).
137 bzad pa|for {bzod pa}; {mi bzad} irresistible, which term comprises {drag po}, {drag shul}, {mi sdug pa}, {zhe sdang}, {khong khro}, etc.
137 char skyob|1. protection against rain, also opp. to {tshad skyob} protection against heat (of the sun). 2. = {gdugs} an umbrella (Moon.).
137 'das log|ghost, apparition; the reappearance of a deceased person, which re-appearing is possible only within forty-nine days from death.
137 do dam|commission, charge, superintendence, care; {do dam pa} an overseer, authorized person; {do dam byed pa} to supervise, superintend.
137 'dod rgyal|conceit, self-assurance: {rgyu mtshan med pa'i rang 'dod kyi rgyal ba} one thinking much of himself without cause (Situ. 119).
137 drung pa|+\nor {sku drung pa} = {sku mdun pa} secretary, lit. one standing near, waiting in the presence of a great man, an aide-de-camp.
137 glang ma|1. a medicinal plant: {glang mas mo nad dang ni tshad pa sel} cures fever and female diseases. 2. a large kind of alpine willow.
137 glos phab pa|to lie on one side or on the side: {lus kyis gzhogs phab nas glang nyal ba lta bu} to lie on the side like an ox lying down.
137 'gos|n. of a monastery, Ta., also n. of a tribe and of a minister of Tibet: {blon chen 'gos kyis zhal che dga' gsum du bcad} (Ya-sel. 4).
137 grong sde'i phra ma mkhan|= {dkrugs shing byed mkhan} one who causes or excites brawls, feuds, etc., among village people or communities.
137 gzan|described as {grva pa'i bsnams rgyu'i gzan} a plain shawl gen. of liver or orange colour which a Buddhist monk wraps round his body.
137 gzhi ches|= {gal ches} very important: {bstan pa'i bya ba gzhi ches pa dang} the works or duties of religion are very important (A. 126).
137 hig|or {hig ka} the act of shuddering, also of sobbing; also, defined as {rnam shes yar 'pho ba} the departing of the soul from the body.
137 'jim las pa|one of the four classes of the rural people who make mud houses; those who work in mud, cultivators of the soil (Ya-sel. 55).
137 kham kham|ser kham kham or pale yellow: {mdog ser kham kham smug ma'i mdog} the colour was pale-yellow, i.e., the colour of a dry bamboo.
137 khar sa pa ni|‡ or {kha sar pa na} SANST he that moves in the sky; gliding through the air; a name of Aval-okitesvara Bodhisattva; Virnu.
137 kha sangs|explained as {sems la gang shar ba kha nas drang po bshad} to speak one's mind; to tell honestly what has occurred in the mind.
137 kha zam|kha che zam a kind of chintz from Kashmir; also a kind of cloth or silk stuff in variegated colours: {bal zam} chintz from Nepal.
137 ku ku ra tsa|SANST a teacher or trainer of dogs; n. of an Indian Buddhist sage who was also called Kukuripa ({ku ku ri pa}) (K. dun. 45).
137 lam thog mi khal|a traveller's journeying and his luggage: {dus thog 'di 'gro med rigs la lam thog mi khal gyi 'khri sgrub} (D. Shel. 8).
137 lcam legs smin|n. of a {mkha' 'gro ma} or Dakini; {rgyal po in dra bo dhi/_lcam legs sman/} King Indra Bodhi and the Lady Legmin (A. 40).
137 lce brgya pa|lit. he with a hundred tongues—epithet of Varuna, the god of the sea; the sea, the waves being so many tongues, &c. (Moon.).
137 legs nyes kyi rgyu dang 'bras bu bstan pa'i mdo|n. of a Sutra in which the fruits of good and bad actions are explained (K. d. {a}, 304).
137 lkog 'dun|is described as meaning {ha ma go bar gros byed pa}, secret conversation or deliberating, so that others may not understand it.
137 ltab byed pa|to fold up; {gsum ltab byed pa} to fold or bend together three-fold (e.g., a corpse previous to cremation or anything else).
137 lto lan tsa|or {rto lan tsa} thick cotton cloth used in India for spreading on the floor; evidently a corruption of the Hindi word SANST.
137 mang sgar|1. a military encampment. 2. n. of a fort in Maoyul: {de nas bzangs gzhon nu 'bar 'bar gyis mang sgar du spyan drangs} (A. 88).
137 ma ru rtse|1. n. of a medicinal fruit which cures the disease of worms: {ma ru rtse yis srin nad sel bar byed}. 2. n. of a county (Pth.).
137 me long lung ring|the Bon designation of Persia which is called {bde ba can gyi zhing khams} Sukhavati or the Land of Bliss (G. Bon. 4.).
137 mog mog|(mo-mo) 1. SANST; also {mog mog po} dark-coloured. 2. small meat-patty, meat-balls in a cover of paste generally cooked in steam.
137 mtshe|an evergreen grass which does not grow more than a cubit in length and is burnt as incense also mixed with snuff in Tibet (Rtsii.).
137 nA|‡ = man (mystic) (K. g. {kha} 28) [the word {nA} may be derived from the Sanskrit np (man), in the nominative case, singular number]S.
137 nang gi sbyin pa|denotes personal sacrifices, the surrendering of parts of ourself, e.g., a member of the body, opp. to outward property.
137 ngag 'chal|= {ngag 'khyal} irregular or senseless speech.\n\nSyn. {'chal tshig}; {cha med gtam}; {klag cor}; {bab col}; {mu cor} (Moon.).
137 ngan shi|SANST death from starvation or from an accident or epidemic or plague, etc.; any person or animal that has died from starvation.
137 nor skyong|or {nor skyongs} 1. a kind of bird (K. ko. {ka}, 13). 2. = {phyag mdzod} treasurer, keeper of the treasury, watch dog (Moon.).
137 paN chen blo bzang thub bstan chos kyi nyi ma|the sixth and present Panchen Rin-po-chhe, who came into the position as an infant in 1883.
137 phag phag|[the name given in Pur. to Codonopsis ovata, the thick roots of which plant are cooked like turnips or ground and baked] (Jä.).
137 phag zhag|(lit. hog's day) it occurs twelve days after the summer solstice when if it rains the water becomes bad and poisonous (Rtsii.).
137 phung po gsum gyi lam ston pa|SANST the instructor of the way (regarding salvation of the three aggregates), an epithet of Buddha (M.V.).
137 phyogs thams cad|all quarters: {phyogs thams cad nas khyed kyi grogs su ci 'gro byed} from all quarters (they) come to your help (A. 61).
137 rang bu|1. Cs. single, alone; {rang bur} adv. singly, alone, without a consort. 2. Cs.: a single life. 3. acc. to Schtr. one's own child.
137 rdo 'jog|SANST Taxila, n. of a sacred place of Buddhists; the ancient capital of the Panjab when Alexander the Great invaded that region.
137 rje rin po che|the epithet by which Tsongkhapa is commonly know in Tibet. His real name was {rgyal ba blo bzang grags pa} in Sans. SANST.
137 rnyang ba|= {bshal ba} to rinse; in W. to suffer from diarrhœa. {rnyang nad} diarrhœa; {rnyang pa} or {rnyang ma} diarrhœtic stool (Jä.).
137 rta bon|is described as {lag pa'i nang phyog rba 'dra ba dri ngan pa} nasty filth, such as that which occurs in fissures inside the hand.
137 rtsub po|rtsub mo SANST, SANST adj. rough, rude, wild. {rtsub mo'i reg bya} SANST an officinal thorny plant (Moon. also K. d. {ya}, 214).
137 sa spyod rin po che 'phrul gyi me long|n. of a quasi-religious work on the selection of sites for buildings, founding of monasteries, &c.
137 skyabs bcol sa|the place of refuge: {skyabs bcol sa dkon mchog gsum las med/} except the three precious ones there is no place of refuge.
137 sna ma|1. (Cs.), the blossom of the nut-meg tree? 2. v. {sna} compound. SANST [1. n. of a plant Cissampelos hexandra. 2. badly clothed]S.
137 snyung|= {snyun} resp. for {nad} disease, illness, sickness: {btsun pa'i sku la snyung mi mnga' 'am} your honour I suppose is not unwell?
137 sra rtsi|hard varnish, resin, gum; {sra rtsi shing} = {spos dkar shing} Sal tree (Moon.).\n\n(EEE The original has "raisin" for "resin".)
137 sro|‡ ardour {sro shi ba} lose spirits, to be disheartened; {thugs sro} W., heat, passion, wrath, anger. {sro can} furious, raging (Jä.).
137 stab seng|the sap of a tree; {stab seng rus chag sbyor zhing rus tshad sel} Stab-seo causes broken bones to join, and removes rheumatism.
137 ta ku|in W. 1. n. of a place and fort in N. China. 2. stick with a hook; a hooked-cane; a crutch. 3. crooked, contracted, crippled (Jä.).
137 thang shing|SANST, SANST, SANST, fir, pine; deodar tree.\n\nSyn. {bcud 'dzin}; {thang chu shing}; {ljon pa ser po}; {gsom shing} (Moon.).
137 tsa tu ka|‡ SANST a mystic word conveying the meaning: {zungs shig ces smras pa yin no} he said do hold it, do bear it (K. g. {kha}, 27).
137 yang steng|n. of a monastery—the {bla brang yang steng} situated on a rocky precipice in the neighbourhood of Phagri Jong (Loo. {za}, 9).
137 yol|n. of a place in Tibet: {de nas dge bshes yol gyis zhus pas khyod snying rje che ba yin pas khyod la spyin} (A. 103) (Deb. {ga}, 19).
137 yongs su tshang ba|complete, full in all its parts, not fractional.\n\nSyn. {kun tu}; {ma tshang med}; {dum bu min}; {mtha' dag} (Moon.).
137 zhul|= {nyung ba} or {mar chag pa} grown less, reduced: {pad kha cung zad zhul} the mouth of the lotus was slightly contracted (Yig. 11).
138 a la la|SANST an interjection, approving of one's action and complimenting by saying: you are clever and happy! = {thabs shes bde ba che}.
138 bsnyengs pa|+\n= {'jigs pa} SANST fear, also to be afraid of {mi bsnyengs} = {mi 'jigs pa} not to be afraid {gnas su bsnyengs} (Situ. 75).
138 'chags pa|= {bshags pa} 1. confession: {sdig pa 'chags so/} I have confessed my sins. 2. v. {'chag pa}. 3. sometimes for {'cheg pa} (Jä.).
138 chos spun|a brotherhood formed by two devotees who before starting on a pilgrimage are blessed by a priest who casts lots on the occasion.
138 chug|imp. of {'jug pa}; {gcen chen po rab tu 'byung du chug ces gsungs} he said: admit the elder brother into the priesthood! (Hbrom. 36).
138 chung ngus grol|({dka' ba chung ngus 'khor ba las grol}) SANST to gain salvation with little asceticism; a state which precedes sainthood.
138 chu sbur|acc. to Sch. 1. drifted wood and the like; thin pieces of wood, chips, chaff, etc., floating on the water. 2. water-beetle (Jä.).
138 dkar rtser ba|very white or fair: {rta pa gzhon nu ma dkar rtser ba zhig_/} a young maiden of very fair complexion on horse-back (A. 135).
138 dpon rabs|genealogy of kings, chiefs or governors: {dpal phag mo grub pa'i dpon rabs} the genealogy of the dynasty of Phag-mo-grub (Jig.).
138 dre'u rngog|+\n; {dre'u'i rngog ma} 1. the mane of a mule. 2. = {stan khra bo} a spotted seat, or cushion. 3. a kind of long-haired cloth.
138 gtse ba|pf. {gtses}, v. {'tshe ba}.\n\nEEE the pf. is given as {grtses} in Tibetan and gtses in Transliteration. The former is impossible.
138 gtso ma|or {btso ma} 1. refined, pure, without any alloy or mixture of base metal: {gser gtso ma} unalloyed purified gold. 2. hemp (Sch.).
138 gur tig|a kind of drug used for healing or drawing sores, &c.; {rma gas rtsa tshad mkhris nad sel} it inflames sores, cures bilious fever.
138 g.yom thog|described as {bang khri sogs la thog yod pa} (Rtsii.) any structure with step-like plinth, steps one above another of an altar.
138 khru slog|or {khru rlog} tilling the ground; acc. to Sch. a pit filled with corn: {khru slog pa} digging; breaking up the soil; gardening.
138 khyab 'jug chung ma|SANST Virnu's wife. Her different names are:- {pad ma can}, SANST; {'phrog byed yum}, {dpal mo}, {khyab 'jug dga' ma}.
138 lam ngan pa|a bad road.\n\nSyn. {nyam nga'i lam}; {nyen pa'i lam}; {'jigs bcas lam}; {kol ba'i lam}; {g.yon lam}; {nyes pa'i lam} (Moon.).
138 ltang phul|occurs in {bon sgo bzhi mdzod dang lnga yi slob bu mang po yis ltang phul nas zhal chems nos pa'i mdo ston pa lags} (D.R. 300).
138 ming gzhi|basic letter gen. the first letter of the root of a word, in contradistinction to the second, the third, and the prefix letters.
138 mngal 'jug pa|or {mngal du 'jug pa} SANST entering the womb (relative to a Buddha); his incarnating himself; his assuming corporeal frame.
138 mthus|instr. of {mthu}, by magical power, by dint of (A.K. 111-16). {mthus brtsir ba} SANST to be subdued; gen. overpowered by witchcraft.
138 nags la lus|= {khyug} SANST [fond of the forest, the Indian cuckoo]S. {nags na dga' ba} cuckoo.\n\nSyn. {khyu byug}; {ngag snyan} (Moon.).
138 nga ru|n. of a place in Ancient Tibet, which Hod, one of the four sons of King Se-sbreg-pa, had chosen for his residence. (Deb. {ga}, 19).
138 nyams myong|experience; but acc. to Jä. enjoyment, delight. {tshor ba'i nyams myong} experience acquired through the medium of the senses.
138 nyin zhag phrugs gcig|a day of twenty-four hours; {sngags ma yin pa'i pha rol tu phyin pa'i lugs nyin zhag phrugs gcig gi bya ba} (A. 74).
138 'phrog yas|SANST n. of a number.\n\n(EEE The original gives the transliteration of the headword as "phog. yas" which is clearly in error.)
138 re sa|= {re ba'i gnas} place of repose of one's hope: {ngas khyod rang las gzhan re sa med} I have none to repose my hopes other than you.
138 rgya brtson 'grus seng ge|n. of the learned Tibetan Lo-tsa-wa who twice visited Vikramasila in Magadha with a view to take Atisa to Tibet.
138 rko byed|I: 1. = {phag} a hog; also that which digs; a mattock, shovel. 2. SANST an arrow.\n\nII: v. {byi ba} that burrows; a rat (Moon.).
138 ro hi ta|‡ 1. n. of river that flowed between the towns Serskya and Lha-bstan. (J. Zao.) 2. a species of ibex said to possess three horns.
138 sbe ser|a place situated to the S. W. of Lhasa with a monastery, formerly the seat of Lama {rngog ston legs pa'i shes rab} (Loo. {za}, 4).
138 sgang bu|full quantity; entire piece: {nga rgyal sgang bu ral bar ma gyur tam} has not his pride been entirely broken-down within (A. 11).
138 sgra brgya pa|= {'brug} SANST thunder.\n\n(EEE the transliteration of the headword in the original is mistakenly given as "sgra brya-pa".)
138 sgyir rkang|gos dang gur sogs kyi mtha' la 'dril btang ba'i mtha' bcag the fringe that is attached to the border of robes or of tents, &c.
138 sha tsha|1. affection; {sha tsha med} (Jig. 35) without affection; acc. to Jä. = a friend; {sha tsha can} amicable, attached. 2. hot meat.
138 shes rab yongs su nyams pa'i rgyu|n. of a Sutra in which are explained the causes which deteriorate spiritual culture (K. ko. {cha}, 208).
138 shes rab yongs su 'phel ba'i rgyu|n. of a Sutra treating of the means of improving and increasing spiritual knowledge (K. gu. {cha}, 207).
138 sho bsgrigs|well arranged: {dkar dmar sho bsgrigs byas pa} cloth of red and white colours arranged in the form of a chess-board (Jig. 13).
138 skang ba|= {skong ba}, {skang gso} 1. satisfaction (Sch.). 2. a kind of expiatory sacrifice to make amends for a duty not performed (Jä.).
138 sku sha 'byor po|= {sha nyams rgyas shing rgyags pa} corpulent; also corpulence; the original name of Hbrom Rgyal-wahi hbyuo gnas (Moon.).
138 skyeng ba|or {skyengs pa} SANST to be ashamed; shame; bashfulness: {kha skyeng ba} or {zhal skyeng ba} to be unable to reply out of shame.
138 skyu ru|I: a kind of medicinal fruit called {skyer shun}.\n\nII: in Sikk. and {skyur mo} in Lhasa, signify a sour liquid or vinegar (Jä.).
138 thol ba|1. v. {'thol ba} pf. to {rtol ba} what has come forth, what has been raised, elevated (Sch.); {thol byung} arisen, begun suddenly.
138 tig po|= {brtan po} or {go chod pa} steady, useful: {kho bo la mi'i tig po mi bdog pas} having not got an intelligent steady man (A. 123).
138 'ug pa lung pa|a celebrated Rñio-ma who was also called {lha rje zur po che} (Deb. {ga}, 5). He was born in a place called {'ug pa lung /}
138 zangs gling|= {zangs kyi gling bu} 1. copper musical pipe (Moon.). 2. SANST n. of an island, prob. Java or, perhaps, the island of Ceylon.
138 zhe hor po ta la|Jehor, the city in China where emperor Kyenlong built a palace and monastery for the Dalai and the Tashi Lamas (Loo. 11).
139 am gtsigs|pressure of the lower lip with the upper teeth (in despair or out of anger):- {gzhan bya thabs med par am gtsigs dam} (Rdsa. 18).
139 'ben gzar|a field for cultivation: {'ben gzar ya yo med cing khod snyoms pa} the field being level and smooth without unevenness (Jig. 10).
139 bka' gnyan|the cruel commander; acc. to Lex. {btsan pa'i sa bdag}, "the mighty lord of the soil," is said to be a pre-Buddhist deity (Jä.).
139 blo pa|1. vb. to be able = {phod pa}: {khyod ma blo na} if you cannot. 2. sbst. = {blo} frq. used by Mil. for the sake of the rhythm (Jä.).
139 'brang|v. {brang}. {'brang rgyas} a woman's breast, teat; ({gtor ma zlum po}) offerings of meal in the shape of a bowl to spirits (Rtsii.).
139 chos bzang|1. = {chol bzang} SANST good custom. 2. SANST Buddhism; piety; pious. 3. n. of an individual; a complimentary address for monks.
139 chu'i zegs ma|particles of water; spray.\n\nSyn. {chu 'thor}; {nyar ma}; {chu'i zer ma}; {chu zil}; {chu thig}; {dba' rlabs skyes} (Moon.).
139 dug rab 'joms|1. SANST, SANST the lotus; that which destroys the effect of poison. 2. SANST the poison-destroying, the tree Mimosa sirissa.
139 e lha rgya ri ba|n. of a scion of the ancient line of kings who belonged to the ministry under the 1st sovereign Dalai Lama (Loo. {'a}, 9).
139 gcig la gcig med pa|SANST mutual non-existence; absence of one thing in relation to another thing—a technical term of the Nyaya philosophy.
139 'gog pa ri|the hill on which the monastery of Gahdan is situated: {'gog pa ri nas rje bla mas dga' ldan gyi dung gter nas bton}. (J. Zao.).
139 'gor|1. in the beginning; {'go gral 'gor} at the top or head of a row or order: {chu 'gor} at the source of a river. 2. supine of {'go ba}.
139 grangs su 'gro|SANST goes into numbers; is counted: {khrangs su bcug pa}, put into numbers; counted: {grangs su yang} SANST even in number.
139 'grum pa|(dum-pa), pf. {grum} (cf. {grum pa}), to pinch or nip off (the point of a thing); to cut off; to prime, lop, clip the wings (Jä.).
139 gtan phebs|SANST explained by {khrig khrig byas tshar pa} {gtan la phebs} published after being thoroughly revised or completely got ready.
139 gu yog|1. {bya'i rgyal po zhig} n. of a king of birds (K. my. 18). 2. n. of the second son of Jengis Khan, who ruled over Eastern Mongolia.
139 g.yul kha|SANST, SANST 1. a threshing-floor. 2. = {g.yul 'thab} war, a battle. {g.yul 'khrug pa} SANST disorder, an up-rising in a country.
139 kang ka|‡ SANST, SANST 1. a crane. 2. in Tibet a bird that feeds on dead bodies and is therefore called {dur bya} the bird of the cemetery.
139 ka rtsam|a species of wild oats; it differs from the yug-po or Tibetan oats and is considered superior to buckwheat, but inferior to wheat.
139 kha lkug|dumb; also of indistinct speech: {ra yi mcher pas byis pa'i kha lkug 'byed} the spleen of a goat removes the dumbness of children.
139 kha nas|orally; by word of mouth; {kha nas khu byug} a cuckoo; also to cry or call like the cuckoo; {kha nas zer ba} to speak colloquially.
139 khong snying|1. the secret heart; the intention or design. 2. pith; core; {shing gi khong snying} the pith or inner wood of a tree (Moon.).
139 kla klo'i tig ta|several bitter roots growing in the sub-Himalayan regions; one is also called {mon gyi tig ta}, Gentiana cheretta (Moon.).
139 kun bor|all-renouncer: {gnyen dang nor rdzas yul 'khor kun bor/} he cast off relations, wealth, properties, realm and all (K. d. {ma} 333).
139 kun thi ra|‡ SANST n. of a bird: {kun thi ra las byas pa'i bya'u'i nang du bung ba bcug na nam mkha' la 'gro bar byed do/} (K. g. {ca} 58).
139 lha yis 'tsho ba|= {sku gnyer} or {lha gnyer} (Moon.) a priest in charge of the images of deities, etc. contained in a temple or monastery.
139 ma Ni ma|‡ = {rol mo} musical instruments like cymbals; {ma Ni ma la zho drug byed pa yin} the cost of a pair of cymbals is six sho (Jig.).
139 mdo sngob|a benediction to the host for his entertainment (Jä.).\n\n(EEE This is clearly in error; it should be {mdo sngo ba} mdo sngo ba.)
139 mi smad pa|= {bstod pa} SANST, SANST [praise]S. {zla rogs dang 'khor rnams kyis mi smad pa} praised by his companions and followers (D.R.).
139 mon ko|a fabulous mountain inhabited by goblins and women with horses' faces and Naga maidens very handsome and fond of music (S. Lam. 39).
139 mu cho ldem drug|the six Bon teachers like the six manifestations of the Buddha who bring the beings of Hell under moral discipline (D.R.).
139 mu men|SANST n. of a precious stone resembling sapphire (Moon.). {mu men dmar po} red mumen in (Vai. so.) [{mu men} also = an earth-worm]S.
139 nga mo|for {rnga mo} the camel: {khur ba ngur skyer drangs shing nga mo mgyogs/} the camel, grunting with loads, travels quickly (Jig. 22).
139 'phags pa thogs med|SANST the founder of the Yogacharya school of Buddhism. He was high-priest in the Achintapuri monastery (Ajanta caves).
139 pho brang me tog can|the capital of king Rama. {chos rgyal pho brang} ancient capital of Tibet in Yar-lung in Lhokha now in ruins (Rtsii.).
139 phung po ri bo che|n. of a monastery situated on the top of a hill in Tsang; in its neighbourhood there is a Bon monastery (Deb. {ga}, 22).
139 pung pa|or {phung pa} in C., W. an unshaped vessel of clay or wood for water, beer, etc., but seems not to be the same with {bum pa} (Jä.).
139 rngul chu|n. of a river in Kham. It is formed by the joining of the rivers {rgyal mo rngul chu} of Kham and Rdsa-khog Oag-chu of Sze-chuan.
139 rtab pa|acc. to Jä = {stab pa} or {bstabs pa} to be in a hurry, to be confused, frightened, in a state of alarm (acc. to Zam. = {brad pa}).
139 sa khong|SANST the interior of the earth. {sa khong na yod pa'i gser} the gold that is in the bosom of the earth, i.e., still in the mines.
139 sa kun dbang|or {sa kun la dbang ba'i rgyal po} = {'khor los sgyur ba'i rgyal po} SANST Chakravartti Raja, emperor of the universe (Moon.).
139 sa pa ka|‡ n. of a great river of the western continent of Godaniya, which flows like a black line in the western ocean (K. ko. {ka}, 263).
139 sa ri|‡ SANST the fourteenth constellation or lunar mansion.\n\nSyn. {rlung gi lha mo}; {rlung gi dbang phyug}; {gnam mthong gong} (Moon.).
139 seng ge 'jigs med|n. of a medicinal herb; {seng ge 'jigs med mgo chag rus pa gso/} Seoge-hjigs-med cures fracture in the bones of the head.
139 sgal ba|to carry a load (on one's back) or to cause a load to be carried on the back of a beast of burden; {sgal 'gel ba} to put on a load.
139 shes rab kyi pha rol tu phyin pa'i tshul brgya lnga bcu pa|n. of a treatise in which both Sutra and Tantra are mixed up (K. g. {nya}, 466).
139 shing mngar|SANST, SANST liquorice; {shing mngar lo nad rtsa nad sel bar byed} liquorice cures disease of the lungs and that of the bowels.
139 skom sha|the flesh of a calf that died or was killed as soon as it was born, even before it could suck milk from its mother's teat (Sman.).
139 skyes bu mchog|SANST a superior person; lama; also {khyab 'jug} Virnu: {skyes bu chen po} SANST a great man or saint; an epithet of Buddha.
139 sngon sbyangs|culture of a former birth; early development; {sngon sbyangs kyi shugs} by dint of culture in a previous existence. (Yig. 7).
139 snyan gtod pa|to give ear to: {kye rgyal po bdag gi tshig 'di la snyan gtod cig} O great king, do lend your ears to my speech (Hbrom. 136).
139 so sgra|lit. the teeth sound, a whistle; {so sgra 'debs pa} the whistling through the teeth, in the magic performances of the Bon-po (Jä.).
139 sun|‡ = {yun} or {dus} time; {sun re} = {dus re}; {mgon po a ti sha la sun re drangs} at times he called (invited) the lord Atisa (A. 155).
139 thang thung|= {chang chung} inferior, unimportant; {bzo rigs thang thung gi gnang cha} included in the inferior class of artizans (Rtsii.).
139 tshe pad|the shrub Ephedra saxatilis, with red berries which are said to be roasted and pulverized to give greater pungency to snuff (Jä.).
139 tshim med|= {dang ga bde ba} or {grod che} (Moon.).\n\n(EEE {grod che} does not occur elsewhere in the dictionary but see under {grod pa}.)
139 'ur ba|1. = {dbur ba} sbst. a humming insect, beetle (Sch.). 2. vb., to be noisy, chattering: {dga' grags 'ur ba} shouting with joy (Mil.).
139 wu rdo|1. v. {'ur rdo} a sling. 2. pumice stone Sch.\n\n(EEE {'ur rdo} does not occur as a headword in the dictionary but see under {'ur}.)
139 yal yol|1. = {yal le yol le} relaxation in attention, carelessness. 2. n. of a number: {yal yol khral khrul thud thud dang /} (Ya-sel. 56).
140 an 'dar|in C. 1. board, plank, panel. 2. {lcags kyi an 'dar} acc. to Cs. an iron instrument of torture; acc. to Thgy. a kind of press (Jä.).
140 ban gzan|the shawl or serge-cloth wrapper used by Tibetan lamas or {ban de} (Rtsii.). {ban lham} shoes worn by Buddhist priests (Rtsii. 51).
140 bhi ra|‡ a gem: {bhi ras gdon rigs kun bsrung gzer ba 'joms} Bhaira gem is a protection against all classes of evil-spirit and removes pain.
140 bkyon pa|= {rdung ba} to beat (Jä.); {bka' bkyon pa} resp. to chastise with words, to scold (Jä.). Schtr. mentions {bkyon bkyal ba} chiding.
