ka|1
brgya byin|340?
brgya byin skyes|340?
brgya byin grong|340?
brgya byin spyi bo|341
brgya byin spros|341?
brgya byin ma|341?
brgya byin gzhu|341?
brgya byin lha yi dbang po'i ming|341?
brgya 'dzin|341?
brgyag brngan|341?
brgyags|341?
brgyang ba|341?
brgyad|341?
brgyad bkag|341?
brgyad bkug|341?
brgyad bcu|341?
brgyad chung|341?
brgyad stong pa|341?
brgyad ston|341?
brgyad pa|341?
brgyad po|341?
brgyad lhag|341?
brgyan pa|342
brgyal ba|342?
brgyas|342?
brgyugs|342?
brgyungs pa|342?
brgyud|342?
brgyud brgyugs|342?
brgyud can|342?
brgyud pa|342?
brgyud pa rnam pa lnga|342?
brgyud 'phel ba|342?
brgyud ma|342?
brgyud yas|342?
brgyus pa|342?
bsgag pa|342?
bsgang|342?
bsgangs pa|343
bsgar|343?
bsgugs pa|343?
bsgul bskyod|343?
bsgul pa|343?
bsgo ba|343?
bsgo ba bcag pa|343?
bsgo ba rna la gzon pa|343?
bsgo ba rnam pa gsum|343?
bsgo ba bzhin nyan pa|343?
bsgo ba la mi nyan pa|343?
bsgom skyes|343?
bsgom pa|343?
bsgoms pa|343?
bsgyings pa|343?
bsgyur ba|344
bsgyus pa|344?
bsgrag phrang|344?
bsgrags|344?
bsgrags pa|344?
bsgrang pa|344?
bsgrad pa|344?
bsgral|344?
bsgral ba|344?
bsgral ba'i shing rta|344?
bsgral bya|344?
bsgral yas|344?
bsgrigs|344?
bsgribs pa|344?
bsgribs pa'i lung du mi ston pa|344?
bsgrims pa|344?
bsgrun pa|344?
bsgreng|344?
bsgrengs|344?
bsgres|344?
bsgres pa|344?
bsgres yas|344?
nga|345
nga kho na|345?
nga rgyal|345?
nga rgyal can|345?
nga rgyal las kyang nga rgyal|345?
nga ngur|345?
nga nged|345?
nga cag|345?
nga phod|345?
nga ba|346
nga med|346?
nga mo|346?
nga 'tsheng|346?
nga yir med|346?
nga ra|346?
nga ra can|346?
nga ra thang|346?
nga ru|346?
nga ro|346?
nga ro byin pa|346?
nga la nu|346?
nga shi|346?
ngag|347
ngag skyes|347?
ngag 'khyal|347?
ngag gi rgyal po|347?
ngag 'gros|347?
ngag rgyas pa|347?
ngag rgyun|347?
ngag 'chal|347?
ngag snyan|347?
ngag gtam|347?
ngag 'dab|347?
ngag 'don pa|347?
ngag ldan|347?
ngag bsdams pa|347?
ngag byed|347?
ngag dbang|347?
ngag dbang lha mo|347?
ngag sbyor|348
ngag ma|348?
ngag ma tshang ba|348?
ngag mi ldan|348?
ngag med|348?
ngag tshab|348?
ngag mtshungs|348?
ngag yid|348?
ngag shor|348?
ngag gsher|348?
ngag gsal|348?
ngag lha mo|348?
ngang|348?
ngang rkang|348?
ngang skya|348?
ngang sgro|348?
ngang ngur|348?
ngang can|348?
ngang pa|349
ngang pa gser ldan|349?
ngang pa'i rgyal po|349?
ngang pa'i nags|349?
ngang pa'i tshogs|349?
ngang bag yod|349?
ngang ma thung|349?
ngang mo|349?
ngang tshul|349?
ngang ring|349?
ngad|349?
ngad can|349?
ngad bzang|349?
ngan|349?
ngan skyes|349?
ngan dgu|349?
ngan 'gro|349?
ngan rgyu can|349?
ngan ngon|349?
ngan rnyed|349?
ngan thabs|350
ngan 'debs pa|350?
ngan na ba|350?
ngan pa|350?
ngan pa brjod pa|350?
ngan pa gnya' rengs|350?
ngan pa dpung bsdebs|350?
ngan spong skyes|350?
ngan bu|350?
ngan bya ba|350?
ngan smra|350?
ngan bzos ma byas pa|350?
ngan g.yo|350?
ngan rings ma|350?
ngan rog|350?
ngan lam|350?
ngan shi|350?
ngan sel|350?
ngan song|350?
ngan gso|350?
ngan hrul|350?
ngam dkar|350?
ngam grog|350?
ngam mthong can|350?
ngam dur can|350?
ngam pa|351
ngam ring|351?
ngam ru|351?
ngam shing|351?
ngam shugs|351?
ngam shod|351?
ngar|351?
ngar skad|351?
ngar ngar po|351?
ngar can|351?
ngar snabs|351?
ngar pa|351?
ngar po|351?
ngar ba|351?
ngar blud|351?
ngar 'bol|351?
ngar ma|351?
ngar 'dzin|351?
ngar ra ra|351?
ngal rken pa|351?
ngal chad pa|352
ngal 'jug pa|352?
ngal stegs|352?
ngal dub pa|352?
ngal phong|352?
ngal ba|352?
ngal med|352?
ngal 'tsho|352?
ngal gso ba|352?
ngal gsos|352?
ngas|352?
ngi|352?
ngu|352?
ngu 'dod|352?
ngu ba|352?
ngu bro|352?
ngu 'bod|352?
ngu ru 'jug pa|352?
ngu shur can|352?
ngug pa|352?
ngud mo|352?
ngur ka|352?
ngur sgra can|352?
ngur pa|352?
ngur pa chen po|352?
ngur ba|352?
ngur smrig|352?
ngur smrig gos|352?
ngur smrig chen po|352?
nge|353
nged|353?
nged nyid|353?
nged gnyis|353?
nged rnams|353?
nged rang|353?
nges kha rag|353?
nges khyab|353?
nges grol|353?
nges 'gro|354?
nges rgyal|354?
nges sgra|354?
nges sgrogs|354?
nges cher med|354?
nges 'jug pa|354?
nges 'joms|354?
nges brjod|354?
nges nyam|354?
nges thob|354?
nges dag|354?
nges don|354?
nges gdung|354?
nges snang|354?
nges pa|354?
nges pa can|354?
nges pa nyid du|354?
nges pa'i phung po|354?
nges par|354?
nges par kun sbyin|354?
nges par skye ba|354?
nges par dga' ba|354?
nges par 'gugs|354?
nges par 'gyur ba|354?
nges par 'gro ba|354?
nges par rgyal ba|354?
nges par brgal ba|354?
nges par gcod pa|355?
nges par 'jug pa|355?
nges par mnyan byas|355?
nges par rtogs pa|355?
nges par brtan pa|355?
nges par bstan pa|355?
nges par gnod mdzad|355?
nges par brnags pa|355?
nges par spangs pa|355?
nges par byed pa|355?
nges par 'byin pa|355?
nges par 'byung bas brtan|355?
nges par 'byed pa'i cha dang mthun pa'i rim bzhi|355?
nges par sbyor|355?
nges par 'dzin pa|355?
nges par bzung|355?
nges par legs pa|355?
nges par sems pa|355?
nges po|355?
nges spel|355?
nges 'bab|355?
nges 'byung|355?
nges med|355?
nges smod|355?
nges tshig|355?
nges tshogs|355?
nges yam shung|355?
nges shes skyes|355?
nges gsal|355?
ngo|355?
ngo kro|355?
ngo dkar po|355?
ngo lkog|355?
ngo bskyod pa|355?
ngo khral|356
ngo grangs|356?
ngo che|356?
ngo chen|356?
ngo ltos|356?
ngo stod|356?
ngo thog|356?
ngo thon pa|356?
ngo mthon pa|356?
ngo nag|356?
ngo gnong ba|356?
ngo sprod pa|356?
ngo bo|356?
ngo bo nyid|356?
ngo 'bab pa|356?
ngo ma|356?
ngo mi chod pa|356?
ngo mi rtag pa|356?
ngo mi shes pa|356?
ngo mig|356?
ngo med lkog med|356?
ngo tsha|356?
ngo tsha can|356?
ngo tsha ba|356?
ngo tsha med|357
ngo tshab|357?
ngo mtshar|357?
ngo rdzun rgyab pa|357?
ngo g.yog|357?
ngo ru|357?
ngo log mkhan|357?
ngo log pa|357?
ngo shus|357?
ngo so|357?
ngo srungs|357?
ngo bsod bya ba|357?
ngog|357?
ngogs|357?
ngogs thob|357?
ngom|357?
ngom pa|357?
ngoms pa|357?
ngor|357?
ngos|358
ngos rgyud|358?
ngos 'byor rtags|358?
ngos zin pa|358?
ngos yangs|358?
ngos shus|358?
ngos su|358?
dngags snyan|358?
dngang ba|358?
dngangs skrag|358?
dngangs pa|358?
dngan 'then pa|358?
dngar|358?
dngud mo|358?
dngul|358?
dngul rkyan|358?
dngul skam|358?
dngul skud|358?
dngul sked|358?
dngul kha|358?
dngul khug|358?
dngul 'gag|358?
dngul chu|358?
dngul tig|358?
dngul rta mig ma|359
dngul dam|359?
dngul dul ma|359?
dngul rdo|359?
dngul phor|359?
dngul rmig|359?
dngul tshags|359?
dngul bzo|359?
dngul 'o kha ma|359?
dngul li|359?
dngul srang|359?
dngo|359?
dngom pa|359?
dngom po|359?
dngos|359?
dngos skyes|359?
dngos grub|359?
dngos ngan|360
dngos 'jug|360?
dngos rnyed|360?
dngos dod|360?
dngos po|360?
dngos po sgrub pa|360?
dngos po mtshungs|360?
dngos po bzhi|360?
dngos ma|360?
dngos ming|360?
dngos med|360?
dngos gtsang|361
dngos 'dzin|361?
dngos gzhi|361?
dngos shugs|361?
dngos su|361?
dngos slob|361?
mngag pa|361?
mngag gzhug|361?
mngags pa can|361?
mngags bya byed|361?
mngan|361?
mngan pa|361?
mnga'|361?
mnga' brnyes pa|361?
mnga' thang|361?
mnga' thang can|361?
mnga' bdag|361?
mnga' bdag kho re|361?
mnga' bdag khri ral pa|361?
mnga' bdag nyang|361?
mnga' bdag 'od lde|361?
mnga' bdag lha lde|361?
mnga' ldan ma|361?
mnga' ba|361?
mnga' 'bangs|362
mnga' mdzad|362?
mnga' 'dzin ma|362?
mnga' zhabs|362?
mnga' 'og|362?
mnga' ris|362?
mnga' ris kham bu|362?
mnga' ris stag mo|362?
mnga' ris sha|362?
mnga' gsol ba|362?
mngar ba|362?
mngal|362?
mngal skyes|362?
mngal grol ba|362?
mngal sgrib|362?
mngal chags|362?
mngal 'jug pa|362?
mngal thur|362?
mngal nad|362?
mngal ba|362?
mngal 'dzin pa|362?
mngal rlugs pa|362?
mngon khyab|363?
mngon dga'|363?
mngon dgongs|363?
mngon 'gro ba|363?
mngon bcom|363?
mngon brjod|363?
mngon nyid|363?
mngon rtags|363?
mngon rtogs|363?
mngon mtho|363?
mngon du gyur pa|363?
mngon du ldang ba|364
mngon du phyogs pa|364?
mngon du byas|364?
mngon du 'byin pa|364?
mngon du 'ong|364?
mngon 'dod|364?
mngon no|364?
mngon pa|364?
mngon pa pa|364?
mngon pa mtshan nyid pa|364?
mngon pa'i nga rgyal|364?
mngon par|364?
mngon par bskyed|364?
mngon par khyab pa|364?
mngon par khro|364?
mngon par mgu bar bya ba|364?
mngon par rgyal|364?
mngon par rgyug pa|364?
mngon par sgrub|364?
mngon par nges myang|364?
mngon par chags|364?
mngon par chal du bkram pa|364?
mngon par mchod pa|364?
mngon par brjod|364?
mngon par btud pa|364?
mngon par rtogs pa|364?
mngon par bstod pa'i grags pa|364?
mngon par mtho ba|364?
mngon par drangs|364?
mngon par 'du byed|365
mngon par 'dud pa|365?
mngon par 'dul 'os pa|365?
mngon par 'don pa|365?
mngon par sde snod|365?
mngon par spyod|365?
mngon par spro ba|365?
mngon par phyogs|365?
mngon par 'phags pa|365?
mngon par byang chub|365?
mngon par byung ba|365?
mngon par dbang bskur ba|365?
mngon par 'byung ba|365?
mngon par sbyor|365?
mngon par brtson pa|365?
mngon par 'dzin|365?
mngon par rdzogs pa|365?
mngon par rab tu 'phyang|365?
mngon par rig pa'am snang ba|365?
mngon par shes pa|365?
mngon par shes pa drug dang ldan pa|366
mngon par shes pa'i shes pa|366?
mngon par sems|366?
mngon par sel|366?
mngon par song|366?
mngon par lhag pa|366?
mngon phyogs|366?
mngon phyogs te|366?
mngon phra|366?
mngon byed pa|366?
mngon mtshan|366?
mngon mdzod|366?
mngon zhen|366?
mngon rloms|366?
mngon shes|366?
mngon shes can|366?
mngon sum|366?
mngon sum du|366?
mngon sum phyogs min pa|366?
mngon sum min pa|366?
mngon gsal|366?
rnga|367
rnga dkar|367?
rnga khri|367?
rnga mkhan|367?
rnga sgra|367?
rnga rngog|367?
rnga lcags|367?
rnga chung|367?
rnga ther|367?
rnga dar|367?
rnga pa|367?
rnga dpon|367?
rnga lpags|367?
rnga ba|367?
rnga ba che ba'i mdo|367?
rnga bo che|367?
rnga bong|367?
rnga bran|367?
rnga dbyug|367?
rnga sbug|367?
rnga ma|367?
rnga mu kun da|367?
rnga mo ngud ka|367?
rnga mong|367?
rnga zor|367?
rnga zlum|367?
rnga zlum can|367?
rnga bzo ba|367?
rnga yab|367?
rnga yab mjug ma can|367?
rnga yu|367?
rnga g.yog|367?
rnga ring|367?
rnga shing|367?
rnga shong|367?
rnga gsangs|367?
rngad|368
rngan bgrang|368?
rngan can|368?
rngan pa|368?
rngan 'phyar ba|368?
rngab pa|368?
rngab tsha ba|368?
rngam rngam|368?
rngam can|368?
rngam brjid|368?
rngam pa|368?
rngam pa phag mgo|368?
rngam po che|368?
rngam gsas|368?
rngams|369
rngams che|369?
rngams pa|369?
rngas|369?
rngas 'bol|369?
rngu|369?
rngu chu|369?
rngu ma|369?
rngub pa|369?
rngul|369?
rngul chu|369?
rngul ba|369?
rngul gzan|369?
rngul gzan gyi gzan|369?
rnge'u|369?
rngo|369?
rngo thog pa|369?
rngo ba|369?
rngo bag can|369?
rngo yas|369?
rngo len pa|369?
rngog|369?
rngog can|369?
rngogs chags|369?
rngod pa|370
rngob pa|370?
rngom brjid|370?
rngom po|370?
rngol bon|370?
rngos khyer|370?
lnga|370?
lnga mchod|370?
lnga stong|370?
lnga ston|370?
lnga tham|370?
lnga drug 'gro|370?
lnga bdo|370?
lnga ldan|370?
lnga sde bzang po|370?
lnga pa|370?
lnga pa nyid|370?
lnga pa'i don|370?
lnga pa'i dbyangs snyan|370?
lnga pa'i lam|370?
lnga po|370?
lnga ba|370?
lnga rtsen|370?
lnga tshigs|370?
lnga rig|370?
lnga len|370?
snga|371
snga gung|371?
snga gong|371?
snga dgongs|371?
snga rgol|371?
snga sngo|371?
snga chad|371?
snga chos|371?
snga tog|371?
snga rting du|371?
snga ltas|371?
snga thog|371?
snga dro|371?
snga na|371?
snga pa|371?
snga phyi|371?
snga phyi rgol|371?
snga phros|371?
snga ba|371?
snga ma|371?
snga mo|371?
snga za|371?
snga rol|371?
snga lags|371?
snga sha|371?
snga shas|371?
snga shugs 'dren pa|371?
snga sor|371?
snga har|372
sngag pa|372?
sngags|372?
sngags skrag|372?
sngags 'chang|372?
sngags btu ba|372?
sngags sde gsum|372?
sngags pa|372?
sngags bon|372?
sngags rigs|372?
sngangs|373
sngangs byed|373?
sngan|373?
sngan bu|373?
sngar|373?
sngar skyes|373?
sngar khrims|373?
sngar 'khyur|373?
sngar rgyas|373?
sngar 'jags|373?
sngar rjes can|373?
sngar rtogs|373?
sngar ltar|373?
sngar 'thung|373?
sngar drangs|373?
sngar ma|373?
sngar med rnyed|373?
sngar tshim|373?
sngar bzhin|373?
sngas|374
sngas pa|374?
sngun|374?
sngur ba|374?
snge'u|374?
sngo|374?
sngo skya|374?
sngo khra|374?
sngo sga|374?
sngo ljang|374?
sngo tog|374?
sngo dregs|374?
sngo nag|374?
sngo sne|374?
sngo sprin|374?
sngo ba|374?
sngo sman|374?
sngo rtsa|374?
sngo rtswa|374?
sngo tshod|374?
sngo rdzab|374?
sngo rtsva|374?
sngo lo|374?
sngo bsangs|374?
sngo bsangs lus|374?
sngog pa|374?
sngon|374?
sngon kyi rabs|375
sngon skyes|375?
sngon 'gro|375?
sngon chad|375?
sngon 'jug|375?
sngon du|375?
sngon dus|375?
sngon dran|375?
sngon nas|375?
sngon po|375?
sngon po bzhin|375?
sngon bu|375?
sngon byung|375?
sngon byus|375?
sngon 'bum|375?
sngon sbyangs|375?
sngon ma|375?
sngon mo|375?
sngon mo chab 'dran|375?
sngon dmar can|375?
sngon tshe|375?
sngon bzhin|375?
sngon yang bsod nams byas pa|375?
sngon rabs|375?
sngon rol|375?
sngon la bshad|375?
sngon las|375?
sngon bsags mthu|375?
brnga ba|376
brnga yas|376?
brngad|376?
brngad pa|376?
brngan pa|376?
brngab pa|376?
brngams pa|376?
brnga'|376?
brngas|376?
brngas pa|376?
brngub|376?
brngubs|376?
brngul|376?
brngog pa|376?
brngod|376?
brngon|376?
brngon pa|377
bsngags ldan|377?
bsngags pa|377?
bsngal ba|377?
bsngas pa|377?
bsngo ba|377?
bsngogs pa|377?
bsngos pa|377?
ca|378
ca cir|378?
ca cus|378?
ca co|378?
ca co sgrogs|378?
ca co can|378?
ca co che|378?
ca co med pa|378?
ca phyi|378?
ca ra ma ra|378?
ca ra ra|378?
ca ri|378?
ca re|378?
ca re nya re|378?
ca le co le|378?
cag|378?
cag krum|378?
cag dkar|378?
cag ga|378?
cag cag|379
cag cer re|379?
cag cob|379?
cag rdo|379?
cang|379?
cang te'u|379?
cang rig|379?
cang shes|379?
cang srid|379?
cangs po|379?
can|379?
can cil|379?
can ce|379?
can du|379?
can bzhi rgyal po|379?
cab cab|379?
cab cob|379?
cam|379?
cam pa ta lo|380
cam pod|380?
car|380?
car mar|380?
car ras|380?
car re|380?
cal|380?
cas cus|380?
ci|380?
ci ga|380?
ci bgyi|380?
ci 'gro|380?
ci rgod|382
ci cir|382?
ci cog|382?
ci chib|382?
ci brjod|382?
ci rnyed|382?
ci ltar|381?
ci ste|381?
ci sto|381?
ci drag|381?
ci bde ba|381?
ci 'dod pa|381?
ci 'dra ba|381?
ci smra bar byed|381?
ci tsam|381?
ci tsug|381?
ci tse|381?
ci tshe|381?
ci mtshan|381?
ci zhig|381?
ci zhes bstan pa|381?
ci zer|381?
ci yang|381?
ci yang med pa|381?
ci yang med pa'i skye mched|381?
ci yang rung ba|381?
ci yin|381?
ci yod|381?
ci rigs pa|381?
ci ru|381?
ci la|381?
ci shul|381?
cig|381?
cig car|381?
cig car zhes|381?
cig shos|381?
cing|381?
cin ci li|381?
ci'ang|381?
ci'u ri|381?
cir|381?
cir mi rtog|381?
cis|381?
cu|381?
cu gang|381?
cu li|381?
cug cug|381?
cung|381?
cung 'gag|383
cung zhig|383?
cung zho|383?
cung zhog|383?
cung zad|383?
cung zad pa|383?
cung zad tsam|383?
cur|383?
cur ni|383?
ce|383?
ce cang|383?
ce na|383?
ce spyang|383?
ce spyang ra|383?
ce tse|383?
ce tse rgod|383?
ce 'o|383?
ce re|383?
ceng ke|383?
cem tse|383?
cer bu|383?
cer re|383?
ces|383?
ces bya ba|383?
co|384
co ga|384?
co ga klad sman|384?
co gras|384?
co to|384?
co dir|384?
co 'dri ba|384?
co ni|384?
co re|384?
co le ba|384?
cog|384?
cog cig car|384?
cog cog pa|384?
cog pa|384?
cog bu|384?
cog bu pa|384?
cog bur|384?
cog tse|384?
cog ro|385
cog la ma|385?
cong|385?
cong ci|385?
cong cong|385?
cong ba|385?
cong mo|385?
cong zhi|385?
cong rong|385?
cod pan|385?
cor gang|385?
cor cor|385?
col chung|385?
col le|385?
col le ba|385?
gcags pa|385?
gcang po|385?
gcad pa|385?
gcan gzan|385?
gcam pa|386
gcam bu|386?
gcam bu pa|386?
gcam yas|386?
gcar ba|386?
gcal ba|386?
gci ba|386?
gcig|386?
gcig ka|386?
gcig car|386?
gcig cig|386?
gcig cog|386?
gcig gcig|386?
gcig chog|386?
gcig rjes|386?
gcig nyid|386?
gcig tu|386?
gcig tu mdzes pa|387
gcig tu yod|387?
gcig tu sems pa|387?
gcig 'thob|387?
gcig du|387?
gcig nas gcig tu|387?
gcig pa|387?
gcig pu|387?
gcig pu dben pa|387?
gcig pu ma|387?
gcig po|387?
gcig po pa|387?
gcig byas|387?
gcig min|387?
gcig tshig|387?
gcig la gcig med pa|387?
gcig las 'phros pa'i lung|387?
gcig shos|387?
gcid pa|387?
gcin 'gag|387?
gcin snye|387?
gcin nad|387?
gcin pa|387?
gcin mang|387?
gcin yang|387?
gcin shor|387?
gcin sri ba|387?
gci'u|387?
gcil ba|388
gcu gal|388?
gcu ti|388?
gcu dong|388?
gcu ba|388?
gcug|388?
gcug med|388?
gcugs pa|388?
gcung po|388?
gcud pa|388?
gcud bor|388?
gcun pa|388?
gcur pa|388?
gcus pa|388?
gcus bu|388?
gce ba|388?
gcen|388?
gce'u|388?
gcer|389
gcer sgrib|389?
gcer ba|389?
gcer bu|389?
gcer bu gnyen gyi bu|389?
gcer bu pa|389?
gcer bu ma|389?
gcer bu lag rdum|389?
gcer mo|389?
gces gces pa|389?
gces btus|389?
gces pa|389?
gces par bya ba|389?
gces spres|389?
gcog pa|389?
gcog rtsis|389?
gcong|389?
gcong skad|389?
gcong chen nad drug|389?
gcong ba|390
gcong med|390?
gcong zhi|390?
gcong rong|390?
gcod rtogs|390?
gcod pa|390?
gcod byed|390?
gcod 'breg pa|390?
gcod mtshams|390?
gcod lugs|390?
gcod lugs bdud bzhi|390?
gcom|390?
gcom skyungs|390?
gcor ba|390?
bcag|390?
bcag thag|391
bcags|391?
bcang pa|391?
bcad|391?
bcad ldan|391?
bcad brdar|391?
bcad pa|391?
bcad po|391?
bcad 'phro|391?
bcad bya|391?
bcad mtshams|391?
bcad lhug|391?
bcabs|391?
bcam bcom|391?
bca' 'grig|391?
bca' sga|391?
bca' 'phrang|391?
bca' ba|391?
bca' ba byed pa|391?
bca' yig|391?
bcar ba|392
bcar bzhugs pa|392?
bcal ba|392?
bcal lung|392?
bcas|392?
bcas pa'i khrims|392?
bcas rang|392?
bcing ba|392?
bcings thag|392?
bcings pa grol ba|392?
bcin|392?
bcibs|392?
bcir ba|392?
bcil ba|392?
bcu|393
bcu gal|393?
bcu brgyad bkar khongs|393?
bcu gcig|393?
bcu gcig zhal|393?
bcu gnyis|393?
bcu gnyis mig ldan|393?
bcu thebs|393?
bcu drug|393?
bcu drug cha|393?
bcu drug bdag po|393?
bcu drug 'od ldan|393?
bcu dpon|393?
bcu phog|393?
bcu ba|393?
bcu ban|393?
bcu bzhi|393?
bcu bzhi ston|393?
bcug nas|393?
bcug pa|393?
bcud|394
bcud kyi ma|394?
bcud skyes|394?
bcud lnga ldan pa|394?
bcud lnga pa|394?
bcud can|394?
bcud brtul zhugs|394?
bcud ldan che|394?
bcud phra mo|394?
bcud sbyin|394?
bcud mo ldan|394?
bcud smin pa|394?
bcud 'dzin ma|394?
bcud len|394?
bcud len grub|394?
bcud len grub pa'i dngul chu|394?
bcum pa|394?
bcur pa|394?
bcus pa|394?
bcer ba|394?
bco|395
bco brgyad|395?
bco lnga|395?
bco lnga mchod pa|395?
bco pa|395?
bco ba|395?
bcog pa|395?
bcom|395?
bcom bskyungs pa|395?
bcom ldan|395?
bcom ldan 'das|395?
bcom ldan 'das rgyal ba|395?
bcom ldan ral gri|395?
bcom pa|395?
bcom rlag|395?
bcoms|395?
bcol dam|395?
bcol ba|395?
bcol ma|395?
bcol bzhog pa|395?
bcos|395?
bcos thabs|395?
bcos thabs med|395?
bcos pa|396
bcos pa'i nags|396?
bcos pa'i ma ning|396?
bcos bu'i ras|396?
bcos ma|396?
bcos ma byed pa|396?
lca|396?
lca sga|396?
lca ba|396?
lcag|396?
lcag lcig|396?
lcag thogs|396?
lcag rdo|396?
lcag pod|396?
lcag 'breng|396?
lcag tshan|396?
lcag yu|396?
lcags|396?
lcags kyi 'khrul 'khor|396?
lcags kyi gar bu|397
lcags kyi tho lum|397?
lcags kyi btsa'|397?
lcags kyi tsha tsha|397?
lcags kyi tshogs|397?
lcags kyi gzhongs ring|397?
lcags kyi sil khrol|397?
lcags kyu|397?
lcags kyus sgyur thabs|397?
lcags dkar|397?
lcags skam|397?
lcags skud|397?
lcags kha|397?
lcags khu|397?
lcags khyem|397?
lcags khrol|397?
lcags mgar|397?
lcags mgu|397?
lcags mgo|397?
lcags sgyid|397?
lcags sgrog ma|397?
lcags sgrol|397?
lcags mchog|397?
lcags snyigs|397?
lcags tig|397?
lcags thag|397?
lcags thab|397?
lcags thal|397?
lcags thum|398
lcags dreg|398?
lcags mda'|398?
lcags mda' sgra can|398?
lcags rdo|398?
lcags ldel|398?
lcags spu|398?
lcags 'phel|398?
lcags sbugs|398?
lcags mag|398?
lcags dmar|398?
lcags zhol|398?
lcags gzar|398?
lcags bzo pa|398?
lcags g.ya'|398?
lcags ra|398?
lcags ri|398?
lcags shan|398?
lcags shal ma li ban|398?
lcags sol|398?
lcags slang|398?
lcags bsro|398?
lcang skya|398?
lcang skya stag sgam|398?
lcang skya rol pa'i rdo rje|398?
lcang lcong|398?
lcang phyi'i nyang|398?
lcang ma|398?
lcang ma brag|399
lcang rtsags|399?
lcang ra|399?
lcang ra rdzong|399?
lcang rlom|399?
lcang lo|399?
lcang lo can|399?
lcang shing|399?
lcang shes|399?
lcang shos|399?
lcang sil|399?
lcam|399?
lcam dkris|399?
lcam dkris can|399?
lcam dral|399?
lcam pa|399?
lcam po|399?
lcam me|399?
lcam me ba|399?
lcam mo|399?
lcam legs smin|399?
lci mda'|399?
lci ba|399?
lcig lcig|400
lcid|400?
lcibs|400?
lcu ba|400?
lcug mdal|400?
lcug pa|400?
lcug ma|400?
lcugs|400?
lcung ka|400?
lcung mo|400?
lcud pa|400?
lcum|400?
lcum dkar|400?
lce|400?
lce brgya pa|400?
lce bsgril ba|400?
lce chung|400?
lce gnyis pa|400?
lce snying med|400?
lce theb|400?
lce bde|400?
lce phyung ste zas mi za|400?
lce 'bar ba|400?
lce 'bigs|400?
lce 'bur|400?
lce med|400?
lce myang tshwa|400?
lce rtsa|400?
lce rtse g.yo ba|400?
lce gzhung|400?
lceg|401
lceb pa|401?
lce'i skye mched|401?
lcog|401?
lcog ga|401?
lcog rtse|401?
lcog rtse la|401?
lcog ras|401?
lcog la brag khung|401?
lcogs pa|401?
lcong|401?
lcongs|401?
cha|402
cha dkar|402?
cha rkyen|402?
cha mkhan|402?
cha ga|402?
cha ga pa|402?
cha grum|403
cha 'grig|403?
cha can|403?
cha cho|403?
cha 'jog pa|403?
cha nyams|403?
cha gnyis|403?
cha gnyis bsre ba|403?
cha snyoms|403?
cha gter|403?
cha de|403?
cha bdag skyes|403?
cha 'dra tsam|403?
cha ldan|403?
cha phra|403?
cha ba|403?
cha bu|403?
cha byed|403?
cha ma mchis|403?
cha ma mthun pa|403?
cha ma 'dra ba|403?
cha med gtam|403?
cha med pa|403?
cha tsam|403?
cha tse|403?
cha tshang|403?
cha tshad|403?
cha tshan|403?
cha tshogs|403?
cha mdzes|403?
cha 'dzin pa|403?
cha rdzogs|403?
cha bzhag pa|403?
cha yi rtse|403?
cha ra|404
cha ri|404?
cha ri si|404?
cha ru|404?
cha lag|404?
cha lang|404?
cha lam|404?
cha li|404?
cha lu|404?
cha lugs|404?
cha lugs ngan pa|404?
cha lugs mdzes pa|404?
cha shas|404?
cha shas ngan pa|404?
cha shas mche rtsig|404?
cha shas 'phrog pa|404?
cha shas byed|404?
cha shas sbyang pa|404?
cha srol|404?
cha bsags pa|404?
cha har|404?
chag|404?
chag krum|404?
chag skya ba|404?
chag khongs|404?
chag ga chog ge|404?
chag rgyag pa|404?
chag chag|405
chag chad|405?
chag dum|405?
chag 'ding|405?
chag pa|405?
chag po|405?
chag phad|405?
chag phebs|405?
chag bu|405?
chag brom|405?
chag mo|405?
chag tse|405?
chag tshang pa|405?
chag tshad|405?
chag gzhong|405?
chag lo|405?
chag shing|405?
chags skyod byed pa|405?
chags 'khri|405?
chags sgo|405?
chags can|405?
chags chen ma|405?
chags 'joms|405?
chags gtam|405?
chags rtags pa|405?
chags ldan ma|405?
chags sdang|405?
chags pa|406
chags pa'i rgyal mtshan|406?
chags pa'i gdon can ma|406?
chags par gyur pa|406?
chags pas myos pa|406?
chags spyod|406?
chags bya|406?
chags byed|406?
chags bral|406?
chags bral can|406?
chags tshig|406?
chags zhen|406?
chags zad|406?
chang|407
chang skyogs|407?
chang khang|407?
chang khyu 'tshog|407?
chang gi nying khu|407?
chang gi phya dar|407?
chang gral|407?
chang 'gag|407?
chang rgyu|407?
chang chung|407?
chang chem can|407?
chang nyams|407?
chang rnying|407?
chang bsnyal|407?
chang tig|407?
chang thub|407?
chang dad can|407?
chang dod|407?
chang dregs|407?
chang 'don|407?
chang gnas|407?
chang pa stong ba|408
chang spags|408?
chang phud|408?
chang phog|408?
chang bu|408?
chang ma|408?
chang mal|408?
chang rtsi|408?
chang tshang|408?
chang tshang las 'ong ba|408?
chang 'tshong ma|408?
chang 'tshong ma'i khang pa|408?
chang zas|408?
chang bzung|408?
chang g.yos|408?
chang ra|408?
chang sa|408?
changs pa|408?
chad|408?
chad don|408?
chad mdo|408?
chad pa|409
chad pa sog pa|409?
chad po|409?
chad yig|409?
chad lus pa|409?
