buddhaH|43?
mahAmaitrImahAkaruNAsamanvAgataH|87
upAyajJAnakuzalaH|87
dhAraNIpratilabdhaH|87
kSAntisamatApratilabdhaH|87
acyutAbhijJaH|87
nirAmiSadharmadeckaH|87
gambhIradharmakSAntipAramiMgataH|87
mArakarmasamAtikrAntaH|87
karmAvaraNapratiprasrabdhaH|87
dharmapravicayavibhaktinirdezakuzalaH|87
asaMkhyeyakalpapraNidhAnasusamArabdhaH|87
smitamukhapUrvAbhilApI|87
gAthAbhir gItAbhir lApanaH|87
apagatalInacittaH|87
anAcchedyapratibhAnaH|87
anantapariSadabhibhAvanaH|87
anantakalpakoTIniHsaraNakuzalaH|87
mAyAmarIcyudakacandrasvapnapratizrutkApratibhAsapratibimbanirmANopamadharmAdhimuktaH|87
apratihatacittaH|88
sattvacittacaritasUkSmajJAnAdhimuktyavatArakuzalaH|88
atimAtrakSAntisamanvAgataH|88
yathAtmyAvatArakuzalaH|88
buddhakSetravyUhAnantapraNidhAnaprasthAnaparigRhItaH|88
asaMkhyeyalokadhAtubuddhAnusmRtisamAdhisatatasamita abhimukhIbhUtaH|88
aparimitabuddhAdhyeSaNakuzalaH|88
nAnAdRSTyanuzayaparyavasthAnaklezaprazamanakuzalaH|88
samAdhivikrIDitazatasahasranirhArakuzalaH|88
sarvajJAtAniryAtaH|88
traidhAtukAsakTaH|88
gatiMgataH|88
sarvAzAparipUrakaH|88
apramANasamAdhisamApattisamanvAgataH|88
amoghakAyavAgmanaHkarmAntAbhiyuktaH|88
apramANasamAdhicaryAdhiSThitaH|89
na punar bodhisattvo mahAsattvaH kAmaguNair lipyate|89
sarvasamAdhivazitApAramiMgataH|89
anupalipto lokadharmaiH|89
yuktapratibhAnaH|89
muktapratibhAnaH|89
maitryAtmakaH|89
karuNAtmakaH|89
muditAvihArI|89
upekSAvihArI|89
acyutazIlaH|89
acyutasamAdhiH|89
abhijJAvikrIDitaH|89
te ca bodhisattvA mahAsattvA bhUyastena sarve kumArabhUtAH|89
bhadrakalpikabodhisattvAH|89
dazabhUminAmAni|89
pramuditA|89
vimalA|89
prabhAkarI|89
arciSmatI|89
sudurjayA|90
abhimukhI|90
dUraMgamaH|90
acalA|90
sAdhumatI|90
dharmameghA|90
adhimukticaryAbhUminAmAni|90
adhimukticaryAbhUmiH|90
AlokalabdhaH|90
AlokavRddhiH|90
tattvArthaikadezAnupravezaH|90
anantaryasamAdhiH|90
dazadharmacaryAH|90
lekhanA|90
pUjanA|90
dAnam|90
zravaNam|90
vAcanam|90
udgrahaNam|90
prakAzanA|90
svAdhyAyanam|90
cintanA|91
bhAvanA|91
dazapAramitAH|91
dAnapAramitA|91
zIlapAramitA|91
kSAntipAramitA|91
vIryapAramitA|91
dhyAnapAramitA|91
prajJApAramitA|91
upAyapAramitA|91
praNidhAnapAramitA|91
balapAramitA|91
jJAnapAramitA|91
catvAri saMgrahavastUni|91
dAnam|91
priyavAditA|91
arthacaryA|91
samAnArthatA|91
TrINi zikSANi|91
adhizIlam|91
adhicittam|92
adhiprajJA|92
aSTadazazUnyatA|92
adhyAtmazUnyatA|92
bahirdhA zUnyatA|92
adhyAtmabahirdhAzUnyatA|92
zUnyatAzUnyatA|92
mahAzUnyatA|92
paramArthazUnyatA|92
saMskRtazUnyatA|92
asaMskRtazUnyatA|92
atyantazUnyatA|92
anavarAgrazUnyatA|92
anavakArazUnyatA|92
prakRtizUnyatA|92
sarvadharmazUnyatA|92
svalakSaNazUnyatA|92
anupalambhazUnyatA|92
abhAvazUnyatA|92
svabhAvazUnyatA|92
abhAvasvabhAvazUnyatA|92
kAyasmRtyupasthAnam|93
vedanAsmRtyupasthAnam|93
cittasmRtyupasthAnam|93
dharmasmRtyupasthAnam|93
catvAri prahANAni|93
anutpannAnAM pApakAnAm akuzalAnAM dharmANAm anutpAdAya cchandaM janayati|93
utpannAnAM pApakAnAm akuzalAnAM dharmANAm prahANAya cchandaM janayati|93
anutpannAnAM kuzalAnAM dharmANAm utpAdAya cchandaM janayati|93
utpannAnAM kuzalAnAM dharmANAm sthitaye bhUyobhAvatAyai asaMpramoSAya paripUraNAya cchandaM janayati|93
vyAyacchate|93
vIryam Arabhate|93
cittaM pragRhNAti|93
samyak pradadhAti|93
catvAra RddhipAdAH|93
chandasamAdhiprahANasaMskArasamanvAgata RddhipAdaH|94
cittasamAdhiprahANasaMskArasamanvAgata RddhipAdaH|94
vIryasamAdhiprahANasaMskArasamanvAgata RddhipAdaH|94
mImAMsAsamAdhiprahANasaMskArasamanvAgata RddhipAdaH|94
anupalambhayogena bhAvayati|94
vivekanizritam|94
virAganizritam|94
nirodhanizritam|94
vyavasargapariNatam|94
paJcendriyANi|94
zraddhendriyam|94
vIryendriyam|94
smRtIndriyam|94
samAdhIndriyam|94
prajJendriyam|94
paJcabalAni|94
zraddhAbalam|94
vIryabalam|94
smRtibalam|95
samAdhibalam|95
prajJAbalam|95
saptabodhyaGgAni|95
smRtisaMbodhyaGgam|95
dharmapravicayasaMbodhyaGgam|95
vIryasaMbodhyaGgam|95
prItisaMbodhyaGgam|95
prasrabdhisaMbodhyaGgam|95
samAdhisaMbodhyaGgam|95
upekSAsaMbodhyaGgam|95
aSTAGgamArganAmAni|95
samyakdRSTiH|95
samyaksaMkalpaH|95
samyagvAk|95
samyakkarmAntaH|95
samyagAjIvaH|95
samyagvyAyAmaH|95
samyaksmRtiH|95
samyaksamAdhiH|95
pratyekabuddhapudgalAH|96
khaDgaviSANakalpaH|96
vargacArI|96
zrAvakapudgalakramA|96
zrota ApannaH|96
saptakRdbhavaparamaH|96
kulaMkulaH|96
sakRdAgAmI|96
ekavIcikaH|96
anAgAmI|96
anantarAparinirvAyI|96
upapadya parinirvAyI|96
sAbhisaMskAraparinirvAyI|96
anabhisaMskAraparinirvAyI|96
UrdhvazrotAH|96
kAyasAkSI|96
zradhAnusArI|96
dharmanusArI|96
zraddhAdhimuktaH|96
dRSTiprAptaH|96
samayavimuktaH|97
asamayavimuktaH|97
prajJAvimuktaH|97
ubhayato bhagavimuktaH|97
nAnAzrAvakanAmAni|97
AjJAtakauNDinya|97
kAzyapaH|97
zAriputraH|97
maudgalyAyana|97
mahAkAtyAyanaH|97
subhUtiH|97
pUrNamaitrAyaNIputraH|97
azvajit|97
aniruddhaH|97
rAhulaH|97
AnandaH|97
nandaH|97
nandakaH|97
nandikaH|97
mahAnAmaH|97
cundaH|97
tiSyaH|97
upatiSyaH|98
kolitaH|98
uruvilvAkAzyapaH|98
nadikAzyapaH|98
gavAMpatiH|98
vASpaH|98
upasenaH|98
zUDa -panthakaH|98
mahApanthakaH|98
zroNakoTIviMzaH|98
udayI|98
sundarInandaH|98
zroNakoTIkarNaH|98
subAhuH|98
udrAyaNaH|98
lavaNabhadrikaH|98
upAliH|98
mahAkauSThilaH|98
gayAkAzyapaH|98
vakkulaH|98
khadiravanikaH|98
svAgataH|98
mahAprajApatI gautamI|98
mAyAdevI|99
yazodharA|99
gopI|99
utpalavarNA|99
dharmadinnA|99
zrAvakaguNAH|99
kSINAsravaH|99
niSklezaH|99
vazIbhUtaH|99
suvimuktacittaH|99
suvimuktaprajJaH|99
AjAneyaH|99
mahAnAgaH|99
kRtakRtyaH|99
kRtakaraNIyaH|99
apahRtabhAraH|99
parikSINabhavasaMyojanaH|99
anuprAptasvakArthaH|99
samyagAjJAsuvimuktacittaH|99
sarvacetovaziparamapAramiprAptaH|99
dharmadhAtukuzalaH|99
dharmarAjaputraH|100
apagatasarvalAbhasatkAracittaH|100
supravrajitaH|100
sUpasampannaH|100
paripUrNasaMkalpaH|100
nirvANamArgAvasthitaH|100
bahuzrutaH|100
zrutadharaH|100
zrutasamnicayaH|100
sucintitacintI|100
subhASitabhASI|100
sukRtakarmakArI|100
AzuprajJaH|100
javanaprajJaH|100
tIkSNaprajJaH|100
niHsaraNaprajJaH|100
nairvedhikaprajJaH|100
mahAprajJaH|100
pRthuprajJaH|100
gambhIraprajJaH|100
asamaprajJaH|100
prajJAratnasamanvAgataH|100?
paramadRSTadharmasukhavihAraprAptaH|100
mahAdakSiNAparizodhakaH|101
prazAnteryApathasaMpannaH|101
mahAkSAntisauratyasamanvAgataH|101
tathAgatAjJAsupratipannaH|101
paripUrNazukladharmaH|101
dRSTadharmaH|101
supratipanno bhagavataH zrAvakasaMghaH|101
nyAyapratipannaH|101
RjupratipannaH|101
sAmIcIpratipannaH|101
anudharmapraticArI|101
dharmAnudharmapratipannaH|101
araNasamAdhiH|101
praNidhijJAnaH|101
dvAdazadhUtaguNAH|101
pAMzukUlikaH|101
traicIvarikaH|101
nAmatika|101
paiNDapAtikaH|101
aikAsanikaH|101
khalu pazcAd bhaktikaH|102
AraNyakaH|102
vRkSamUlikaH|102
AbhyavakAzikAH|102
zmAzAnikaH|102
naiSadikaH|102?
yAthAsaMstarikaH|102?
zrAvakabhUmayaH|102
zuklavidarzanAbhUmiH|102?
gotrabhUmiH|102?
aSTamakabhUmiH|102?
darzanabhUmiH|102
tanubhUmiH|102
vItarAgabhUmiH|102?
kRtAvibhUmiH|102
SaDanusmRtayaH|102
buddhAnusmRtiH|102
dharumAnusmRtiH|102
saMghAnusmRtiH|102
zIlAnusmRtiH|102
tyAgAnusmRtiH|102
devatAnusmRtiH|102
azubhabhAvanAH|102?
vinIlakasaMjJA|103
vidhUtikasaMjJA|103
vipaDumakasaMJA|103
vyAdhmAtakasaMjJA|103
vilohitakasaMjJA|103
vikhAditakasaMjJA|103
vikSiptakasaMjJA|103
vidagdhakasaMjJA|103
asthisaMjJA|103
AnApAnabhAvanAvidhiH|103
AnApAnasmRtiH|103
gaNanA|103
anugamaH|103
sthAnam|103
upalakSaNA|103
vivartanA|103?
parizuddhiH|103
hrasvam Azvasan hrasvam AzvasAmIti yathAbhUtaM prajAnAti|103
hrasvaM prazvasan hrasvaM prazvasAmIti yathAbhUtaM prajAnAti|104
dIrgham Azvasan dIrgham AzvasAmIti yathAbhUtaM prajAnAti|104
dIrgham prazvasan dIrgham prazvasAmIti yathAbhUtaM prajAnAti|104
sarvakAyapratisaMvedya Azvasan sarvakAyapratisaMvedyAzvasAmIti yathAbhUtaM prajAnAti|104?
sarvakAyapratisaMvedya prazvasan sarvakAyapratisaMvedya prazvasAmIti yathAbhUtaM prajAnAti|104
prasrabhya kAyasaMskArAn Azvasan prasrabhya kAyasaMskArAn AzvasAmIti yathAbhUtaM prajAnAti|104
prasrabhya kAyasaMskArAn prazvasan prasrabhya kAyasaMskArAn prazvasAmIti yathAbhUtaM prajAnAti|104
prItipratisaMvedyAzvasan prItipratisaMvedyAzvasAmIti yathAbhUtaM prajAnAti|104
prItipratisaMvedya prazvasan prItipratisaMvedI prazvasAmIti yathAbhUtaM prajAnAti|105
cittasaMskArapratisaMvedya AzvasaJ cittasaMskArapratisaMvedyAzvasAmIti yathAbhUtaM prajAnAti|105
cittasaMskArapratisaMvedya prazvasaJ cittasaMskArapratisaMvedyA prazvasAmIti yathAbhUtaM prajAnAti|105?
prasrabhya cittasaMskArAn Azvasan prasrabhya cittasaMskArAn AzvasAmIti yathAbhUtaM prajAnAti|105
prasrabhya cittasaMskArAn prazvasan prasrabhya cittasaMskArAn prazvasAmIti yathAbhUtaM prajAnAti|105
cittapratisamvedya Azvasan cittapratisamvedyAzvasAmIti yathAbhUtaM prajAnAti|105?
cittapratisaMvedya prazvasaJ cittapratisaMvedyaprazvasAmIti yathAbhUtaM prajAnAti|105
SoDazabhir AkArair visAritAni catvAry AryasatyAni|106
duHkham|106
anityam|106
zUnyam|106
anAtmakam|106
samudayaH|106
prabhavaH|106
hetuH|106
pratyayaH|106
nirodhaH|106
zAntaH|106
praNItaH|106
niHsaraNaH|106
mArgaH|106
nyAyaH|106
pratipattiH|106
nairyANikaH|106
AnantaryamArgaH|106
vimuktimArgaH|106
abhisamayAntikaM kuzalamUlam|106
kSayajJAnalAbhikaM kuzalamUlam|106
nirvedhabhagakramaH|107
nirvedhabhAgIyaH|107
uSmagataH|107
mUrdhAnaH|107
kSAntiH|107
laukikAgryadharmaH|107
SoDazacittakSaNAH|107
duHkhe dharmajJAnakSAntiH|107
duHkhe dharmajJAnaM|107
duHkhe ऽnvayajGAnakSAntiH|107
duHkhe ऽnvayajJAnam|107
samudaye dharmajJAnakSAntiH|107
samudaye dharmajJAnam|107
samudaye ऽnvayajJAnakSAntiH|107
samudaye ऽnvayajJAnam|107
nirodhe dharmajJAnakSAntiH|107
nirodhe dharmajJAnam|107
nirodhe ऽnvayajJAnakSAntiH|107
nirodhe ऽnvayajJAnam|107
mArge dharmajJAnakSAntiH|108
mArge dharmajJAnam|108
mArge ऽnvayajJAnakSAntiH|108
mArge ऽnvayajJAnam|108
dazajJAnAni|108
dharmajJAnam|108
paracittajJAnam|108
anvayajJAnam|108
saMvRtijJAnam|108
duHkhajJAnam|108
samudayajJAnam|108
nirodhajJAnam|108
mArgajJAnam|108
akSayajJAnam. kSayajJAnam|108
anutpAdajJAnam|108
catvAraHpratipadaH|108
duHkhA pratipad dhandhAbhijJA|108
sukhA pratipad dhandhAbhijJA|108
duHkhA pratipat kSiprAbhijJA|108
sukhA pratipat kSiprAbhijJA|108
yAnakramaH|109
mahAyAnam|109
pratyekabuddhayAnam|109
zrAvakayAnam|109
hInayAnam|109
prAdezikayAnam|109
ekayAnam|109
indriyavaimAtratA|109
mRdvindriyaH|109
madhyendriyaH|109
tIkSNendriyaH|109
paJcagotrAH|109
zrAvakayAnAbhisamayagotraH|109
pratyekabuddhayAnAbhisamayagotraH|109
tathAgatayAnAbhisamayagotraH|109
aniyatagotraH|109
agotrakaH|109
dvAdazakadharmapravacanam|109?
sUtram|110
geyam|110
vyAkaraNam|110
gAthA|110?
udAnam|110
nidAnam|110
avadAnam|110
itivRttakam|110
jAtakam|110
vaipulyam|110
adbhUtadharmaH|110
upadezaH|110
dharmaparyAyaH|110?
brahmacAryam|110
Adau kalyANam|110
madhye kalyANam|110?
paryavasAne kalyANam|110
svartham|110
suvyaJjanam|110
kevalam|110
paripUrNam|110
parizuddham|110
paryavadAtam|110
abhivadamAnA abhivadanti|111
svAkhyAto bhagavato dharmaH|111?
sAMdRSTikaH|111
nirjvaraH|111
AkAlikaH|111
aupanAyikaH|111
aihipazyikaH|111
pratyAtmavedanIyo vijJaiH|111
svAkhyAto bhagavato dharmavinayaH supraveditaH|111
nairyANikaH saMbodhigAmI|111
abhinnaH saMstUpaH|111
sapratizaraNaH|111
zAstA cAsya tathAgato ऽrhan samyaksambuddhaH|111
svAkhyAto me bhikSavo dharmaH|111
uttAnaH|111
vivRtaH|111
chinnaplotikaH|111
yAvad devamanuSyebhyaH suprakAzitaH|111
dharmacakranAmAni|112
triparivartadvAdazAkAradharmacakrapravartanam|112
AryasatyAnAM prathamaparivarto darzanamArgaH|112
idaM duHkham|112
ayaM samudayaH|112
ayaM nirodhaH|112
iyaM duHkhanirodhagAminIpratipat|112
AryasatyAnAM dvitIyaparivarto bhAvanAmArgaH|112
duHkham AryasatyaM parijJeyam|112
duHkhasamudayaH prahAtavyaH|112
duHkhanirodhaH sAkSAt kartavyaH|112
duHkhanirodhagAminI pratipad bhAvayitavyA|112
AryasatyAnAM tRtIyaH parivarto ऽzaikSamArgaH|112
duHkhaM parijJAtam|112
samudayaH prahINaH|112
nirodhaH sAkSAtkRtaH|112
duHkhanirodHagAminI pratipad bhAvitA|112
saddharmanAmAni|112
zatasAhasrikAprajJApAramitA|113
paJcaviMzatisAhasrikA|113
aSTasAhasrikAprajJApAramitA|113
buddhAvataMsakam|113
bodhisattvapiTakam|113
lalitavistaraH|113
samAdhirAjaH|113
pitAputrasamAgamaH|113
lokottaraparivartaH|113
saddharmapuNDarIkam|113
gagaNagaJjaH|113
ratnameghaH|113
laGkAvatAram|113
suvarNaprabhAsottamam|113
vimalakIrttinirdezaH|113
gaNDavyUhaH|113
AkAzagarbhaH|113
ghanavyUhaH|113
akSayamatinirdezaH|113
upAyakauzalyam|113?
dharmasaMgItiH|113
suvikrAntavikrAmI|113
mahAkaruNApuNDarIkam|113
ratnaketuH|114
dazabhUmikam|114
tathAgatamahAkaruNAnirdezaH|114
drumakinnararAjaparipRcchA|114
sUryagarbha|114
buddhabhUmiH|114
tathAgatAcintyaguhyanirdezaH|114
zUraMgamasamAdhinirdezaH|114
sAgaranAgarAjaparipRcchA|114
ajAtazatrukaukRtyavinodanaH|114
saMdhinirmocanam|114
buddhasaMgItiH|114
rASTrapAlaparipRcchA|114
sarvadharmApravRttinirdezaH|114
ratnacUDaparipRcchA|114
ratnakUTaH|114
mahAyAnaprasAdaprabhAvanam|114
mahAyAnopadezaH|114
brahmavizeSacintiparipRcchA|114
paramArthasaMvRtisatyanirdezaH|115
maJjuzrIvihAraH|115
mahAparinirvANam|115
avaivartikacakraM|115
karmavibhaGgaH|115
prajJApAramitApaJcazatikA|115
trizatikAprajJApAramitA|115
ratnolkA|115
gocaraparizuddham|115
prazAntavinizcayaprAtihAryanirdezaH|115
tathAgatotpattisambhavanirdezaH|115
bhavasaMkrAntiH|115
paramArthadharmavijayaH|115
maJjuzrIbuddhakSetraguNavyUhaH|115
bodhipakSanirdezaH|115
karmAvaraNapratiprasrabdhiH|115
triskandhakaM|115
sarvavaidalyasaMgrahaH|115
saMghATasUtram|115
tathAgatajJAnamudrAsamAdhiH|116
vajrameruzikharakUTAgAradhAraNI|116
anavataptanAgarAjaparipRcchA|116
sarvabuddhaviSayAvatArajJAnAlokAlaMkAraH|116
saptazatikA prajJApAramitA|116
vyAsaparipRcchA|116
subAhuparipRcchA|116
siMhaparipRcchA|116
mahAsahasrapramardanam|116
ugraparipRcchA|116
zraddhAbalAdhAnam|116
aGgulimAlIyam|116
hastikakSyam|116
akSayamatiparipRcchA|116
mahAsmRtyupasthAnam|116
zAlistambakam|114
maitrIvyAkaraNam|116
bhaiSajyaguruvaiDUryaprabhah|116
arthavinizcayaH|116
mahAbalasUtram|116
vIradattagRHapatiparipRcchA|116
ratnakaraNDakam|116
vikurvANarAjaparipRcchA|116
dhvajAgrakeyUrah|117
tripiTakam|117
sUtram|117
abhidharmaH|117
vinayaH|117
prajJAptizAstram|117
saMgItiparyAyaH|117
dharmaskandhaH|117
dhAtukAyaH|117
jJAnaprasthAnam|117
prakaraNapAdaH|117
ekottarikAgamaH|117
madhyamAgamaH|117
dIrghAgamaH|117
saMyuktAgamaH|117
vinayavibhaGgaH|117
vinayavastu|117
vinayakSudrakam|117
uttaragranthaH|117
rAjAvavAdakam|117
kaNThoktakArikAdInAM nAmAni|117
AgamaH|118
ArSaH|118
pravacanam|118
zAsanam|118
sUtrAntaH|118
sUtram|118
siddhAntaH|118
samayaH|118
anuzAsanA|118
avavAdaH|118
darzanam|118
matam|118
zAstram|118
prakaraNam|118
prakriyA|118
kArikA|118
TippiTakaH|118
vRttiH|118
vivaraNam|118
paJjikA|118
bhASyam|118
vyAkhyAnam|118
vArtikam|118
paddhatiH|119
mizrakam|119
TIkA|119
TIkATIkA|119
zlokaH|119
gAthA|119?
gadyam|119
padyam|119
vRttam|119
chandaH|119
daNDakam|119
granthaH|119
parivartaH|119
AzvAsakaH|119
paricchedaH|119
sargaH|119
paTalaH|119
adhyAyaH|119
chandovicitiH|119
piNDodAnam|119
antaroddAnam|119?
uddAnaM|119
catvAri dhyAnAni|119
viviktaM kAmair viviktaM pApAkair akuzaladharmaiH savitarkaM savicAraM vivekajaM prItisukhaM prathamaM dhyAnam upasaMpadya viharati|120
sa vitarkavicArANAM vyupazamAd adhyAtmaM samprasAdAc cetasa ekotIbhAvAd avitarkam avicAraM samAdhijaM prItisukhaM dvitIyaM dhyAnam upasaMpadya viharati|120
sa prIter virAgAd upekSako viharati smRtaH saMprajAnan sukhaM ca kAyena pratisaMvedayati yattad AryA AcakSate upekSakaH smRtimAn sukhaM viharatIti niSprItikaM tRtIyaM dhyAnam upasampadya viharati|120
sa sukhasya ca prahANAd duHkhasya ca prahANAt pUrvam eva ca saumanasyadaurmanasyayor astaMgamAd aduHkhAsukham upekSAsmRtiparizuddhaM caturthaM dhyAnam upasaMpadya viharati|120
prAntakoTikaM dhyAnam|120
anAgamyam|120
dhyAnAntaram|120
sAmantakam|120
maulam|120
AspharaNakasamAdhiH|121
pratisaMlayanaH|121
samAhitaH|121
satatasamitasamAhitacittaH|121
samApattinAmAni|121
sa sarvazo rUpasaMjJAnAM samatikramAt pratighasaMjJAnAm astaMgamAn nAnAtvasaMjJAnAm amanasikArAd anantam AkAzam ity AkAzAnantyAyatanam upasaMpadya viharati|121
sa sarvaza AkAzAnanty AyatanaM samatikramyAnantaM vijJAnam iti vijJAnAnanty Ayatanam upasaMpadya viharati|121
sa sarvazo vijJAnAnantyAyatanaM samatikramya nAsti kiMcid ityAkiMcanyAyatanam upasaMpadya viharati|121
sa sarvazo AkiMcanyAyatanaM samatikramya naivasaMjJAnAsaMjJAyatanam upasampadya viharati|121
[a]vyutkrAntakasamApattiH [b]vyatikrAntakasamApattiH|121
navAnupUrvavihArasamApattiH|122
samApattiskandhaH|122?
nirodhasamApattiH|122
mahAbhUtasamatAsAdhanam|122
asaMjJAsamApattiH|122
catvAry apramANAni|122
maitrI|122
karuNA|122
muditA|122
upekSA|122
sa maitrIsahagatena cittenAvaireNAsapatnenAvyAbAdhena vipulena mahadgatenApramANenAdvayena subhAvitenaikAM dizam adhimucya sphAritvopasaMpadya viharati|122
tathA dvitIyaM tathA tritIyaM tatha caturtham ity Urdhvam adhas tiryak sarvazaH sarvAvantam imaM lokam|122
aSTau vimokSAH|122
rUpI rUpANi pazyaty ayaM prathamo vimokSaH|122
adhyAtmam arUpasaMjJI bahirdhA rUpANi pazyaty ayaM dvitIyo vimokSaH|123
sa sarvazo rUpasaNjJAnAM samatikramAt pratigha [prathama]saJjGAnAm astaMgamAn nAnA tvasaMjJAnAm amanasikArAd anantam AkAzam ityAkAzAnantyAyatanam upsampadya viharaty ayaM caturtho vimokSaH|123
sa sarvaza AkiMcanyAyatanaM samatikramya naivasaMjJAnAsaMjJAyatanam upasampadya viharaty ayaM saptamo vimokSaH|123
aSTAvabhibhvAyatanAni|124
adhyAtmarUpasaMjJI bahirdhA rUpANi pazyati parIttAni suvarNadurvarNAni tAni khalu rUpANy abhibhUya jAnAty abhibhUya pazyati evaMsaMjJi ca bhavati idaM prathamam abhibhvAyatanaM|124
adhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati mahadgatAni suvarNadurvarNAni tAni khalu rUpANy abhibhUya jAnAty abhibhUya pazyati evaMsaMjJI ca bhavati idaM dvitIyam abhibhvAyatanam|124
adhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati nIlAni nIlavarNAni nIlanidarzanAni nIlanirbhAsAni tadyathA umakapuSpaM sampannaM vA vArANaseyaM vastraM nIlaM nIlavarNaM nIlanidarzanaM nIlanirbhAsam evam evAdhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati nIlAni nilavarNAni nIlanidarzanAni nIlanirbhAsAni idaM tRtIyam abhibhvAyatanam|124
adhyAtman arUpasaMjJI bahirdhA rUpANi pazyati pItAni pItavarNAni pItanidarzanAni pItanirbhAsAni tadyathA karNikArapuSpaM saMpannam vA vArANaseyaM vastraM pItaM pItavarNaM pItanidarzanaM pItanirbhAsam evam evAdhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati pIta varNAni pItanidarzanAni pItanirbhAsAni idaM caturtham abhibhvAyanam|125
adhyAtman arUpasaMjJI bahirdhA rUpANi pazyati lohitAni lohitavarNAni lohitanidarzanAni lohita nirbhAsAni tadyathA bandhujIvakapuSpaM saMpannaM vA vArANaseyaM vastraM lohitaM lohitavarNaM lohitanidarzanaM lohitanirbhAsaM evamevAdhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati lohitAni lohitavarNAni lohitanidarzanAni lohitavarNAni lohitanidarzanAni lohitanirbhAsAni idaM paJcamam abhibhvAyatanam|125
adhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati avadAtAni avadAtavarNAni avadAtanirbhAsAni tadyathA uzanastArakAvarNa avadAta avadAtavarNa avadAtanidarzana avadAtanirbhAsaH evam evAdhyAtmam arUpasaMjJI bahirdhA rUpANi pazyati avadAtani avadAtavarNAni avadAtanidarzanAni avadAtanirbhAsAni idaM SaSTam abhibhvAyatanam|125
sa sarvazo rUpasaMjJAnAM samatikramAt pratighasaMjJAnAm astaMgamAn nAnAtvasaMjJAnAm amanasikArAd anantam AkAzamity AkAzAnantyAyatanam upasaMpadya viharati idaM saptamam abhibhvAyatanam|126
sa sarvaza AkAzAnantyAyatanaM samatikramyAnantaM vijJAnam iti vijJAnAnantyAyatanam upasaMpadya viharati idam aSTamam abhibhvAyatanam|126
dazakRtsnAyatanAni|126
nIlakRtsnAyatanam|126
pItakRtsnAyatanam|126
lohitakRtsnAyatanam|126
avadAtakRtsnAyatanam|126
pRthivIkRtsnAyatanam|126
apkRtsnAyatanam|127
tejaskRtsnAyatanam|127
vAyukRtsnAyatanam|127
AkAzakRtsnAyatanam|127
vijJAnakRtsnAyatanam|127
pRthivIkRtsnAm ityeke saMjAnate ityUrdhvam adhas tiryag advayam apramANam|127
aptejovAyunIlapItalohitAvadAtakRtsnAm ity eke saMjAnate ity Urdhvam adhas tiryagadvayam apramANam|127
trINi vimokSamukhAni|127
zUnyatA|127
animittam|127
catvAri pratisaraNAni|127
arthapratisaraNena bhavitavyaM na vyaJjanapratisaraNena|127
dharmapratisaraNena bhavitavyaM na pudgalapratisaraNena|127
jJAnapratisaraNena bhavitavyaM na vijJAnapratisaraNena|127
nItArthasUtrapratisaraNena bhavitavyaM na neyArthasUtrapratisaraNena|128
trividhAH prajJAH|128
zrutamayI prajJA|128
cintAmayI prajJA|128
bhAvanAmayI prajJA|128
paJcavidyAsthAnAni|128
zabdavidyA|128
hetuvidyA|128
adhyAtmavidyA|128
cikitsAvidyA|128
zilpa sthAnavidyA|128
catvAri dharmasamAdAnAni|128
pratyutpannasukham AyatyAM duHkhavipAkaM|128
pratyutpannaduHkham AyatyAM sukhavipAkam|128
pratyutpannaduHkham AyatyAM duHkhavipAkam|128
pratyutpannasuHkham AyatyAM sukhavipAkam|128
saptadhanAni|129
zraddhAdhanam|129
zIladhanam|129
hrIdhanam|129
apatrApyadhanam|129
zrutadhanam|129
tyAgadhanam|129
prajJAdhanam|129
SaDanuttaryANi|129
darzanAnuttaryam|129
zravaNAnuttaryam|129
lAbhAnuttaryam|129
zikSAnuttaryam|129
paricaryAnuttaryam|129
anusmRtyanuttaryam|129
catvAryadhiSThAnAni|129
satyAdhiSThAnam|129
tyAgAdhiSThAnam|129
upazamAdhiSThAnam|129
prajJAdhiSThAnam|129
nava pramodyapUrvakA dhasmAH|130
pramuditasya prItir jAyate|130
prItimanasaH kAyaH prasrabhyate|130
prasrabdhakAyaH sukhaM vedayati|130
sukhitasya cittaM samAdhIyate|130
[a]samAhitacitto yathAbhUtaM prajAnate|130
[b]yathAbhUtaM pazyati|130
yathabhUtadarzI nirvidyate|130
nirviNNo virajyate|130
virakto vimucyate|130
vimuktasya vimukto ऽsmIti jJAnadarzanaM bhavati|130
SaDniHsaraNIyadhAtavaH|130
vyApAdasyAvyApAdo niHsaraNaM maitrI|130
vihiMsAniHsaraNaM karuNA|131
aratiniHsaraNaM muditA|131
kAmaniHsaraNam upekSA|131
vicikitsAniHsaraNam asmimAnasamudghAtaH|131
nimittaniHsaraNam animittam|131
catvAri devamanuSyANAM cakrANi|131
pratirUpadezavAsaH|131
satpuruSApAzrayam|131
AtmanaH samyakpraNidhAnam|131
[a]pUrve ca kRtapuNyatA [b]pUrvakRtapuNyatA|131
tApasaMvAraparyAyAH|131
ekadezakArI|131
pradezakArI|131
yadbhUyaskArI|131
